Descrição da falha,Tipo de atividade,CÓDIGO DA OS,Ativo ,Equipe responsável,Executor (tecnico),Início,Fim,Hora início,Hora fim,Duração,Custo real dos técnicos (custo m.o.),Custo total real
Falha no sistema de aquecimento,Manutenção corretiva,CORRETIVA-01-25-0058,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,19:30:00,21:00:00,01:30:00,"34,08","34,08"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0013,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/2/2025,1/3/2025,15:00:00,00:08:00,09:00:00,"163,32","163,32"
Falha no motor principal,Manutenção corretiva,CORRETIVA-01-25-0018,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,64989 - OPERADOR 14,1/2/2025,1/3/2025,23:00:00,02:44:00,03:44:00,"67,88","67,88"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-01-25-0051,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,1/2/2025,1/2/2025,14:00:00,17:00:00,03:00:00,"68,16","68,16"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-01-25-0013,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,1/2/2025,1/3/2025,15:00:00,00:08:00,09:00:00,"163,32","163,32"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0016,#219 - INJETORA A SECO AA #219,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,1/2/2025,1/3/2025,23:30:00,02:00:00,02:30:00,"45,15","45,15"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-01-25-0020,#295 - INJETORA A SECO AA #295,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,1/2/2025,1/3/2025,23:00:00,00:30:00,01:30:00,"26,97","26,97"
Problema no motor da lâmina,Manutenção corretiva,CORRETIVA-01-25-0005,#305 - CORTADEIRA DOBRADEIRA TERMOMECANICA #305,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/2/2025,1/2/2025,11:39:00,14:00:00,02:21:00,0,0
Correia desalinhada,Manutenção corretiva,CORRETIVA-01-25-0003,#354 - ESTEIRA BARTEL DT-1800 #354,EQ-ATV-002 - EQUIPE CORRETIVA,65029 - OPERADOR 19,1/2/2025,1/2/2025,09:00:00,10:14:00,01:14:00,"22,42","22,42"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0004,#441 - PRENSA DST NEXTRON #441,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,1/2/2025,1/2/2025,10:05:00,11:35:00,01:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-01-25-0017,#452 - POLITRIZ NOKIA .,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,1/2/2025,1/3/2025,23:00:00,01:00:00,02:00:00,"44,68","44,68"
