FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA EMERGENCIAL,"  890,24 ",1/11/2025,,,TRANSPORTADORA COMBINADA," R$  241.458,63 "
TRANSPORTADORA EMERGENCIAL,"  866,17 ",1/3/2025,,,TRANSPORTADORA EMERGENCIAL," R$  123.919,88 "
TRANSPORTADORA EMERGENCIAL,"  778,65 ",1/29/2025,,,DEMAIS TRANSPORTADORAS," R$  94.650,25 "
TRANSPORTADORA EMERGENCIAL,"  778,65 ",1/23/2025,,,TOTAL," R$  460.028,76 "
TRANSPORTADORA EMERGENCIAL,"  778,65 ",1/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",1/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",1/31/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  759,59 ",1/4/2025,,,,
TRANSPORTADORA COMBINADA,"  684,39 ",1/26/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  513,08 ",1/9/2025,,,,
TRANSPORTADORA COMBINADA,"  427,42 ",1/3/2025,,,,
TRANSPORTADORA COMBINADA,"  394,81 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  392,40 ",1/4/2025,,,,
TRANSPORTADORA COMBINADA,"  383,03 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  378,29 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  372,09 ",1/8/2025,,,,
TRANSPORTADORA COMBINADA,"  369,94 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  368,61 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  367,73 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  317,43 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  281,43 ",1/26/2025,,,,
TRANSPORTADORA COMBINADA,"  268,03 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  247,33 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  243,27 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  242,99 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  242,99 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  240,00 ",1/23/2025,,,,
TRANSPORTADORA COMBINADA,"  238,34 ",1/22/2025,,,,
TRANSPORTADORA COMBINADA,"  238,32 ",1/26/2025,,,,
TRANSPORTADORA COMBINADA,"  238,07 ",1/16/2025,,,,
TRANSPORTADORA COMBINADA,"  181,97 ",1/4/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  161,96 ",1/29/2025,,,,
TRANSPORTADORA COMBINADA,"  158,29 ",1/12/2025,,,,
TRANSPORTADORA COMBINADA,"  120,23 ",1/5/2025,,,,
TRANSPORTADORA COMBINADA,"  117,30 ",1/5/2025,,,,
TRANSPORTADORA COMBINADA,"  115,26 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  104,60 ",1/18/2025,,,,
TRANSPORTADORA COMBINADA,"  100,38 ",1/30/2025,,,,
TRANSPORTADORA COMBINADA,"  70,17 ",1/23/2025,,,,
DEMAIS TRANSPORTADORAS,"  4.664,00 ",2/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  4.312,00 ",2/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  2.128,00 ",2/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  890,24 ",2/21/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  875,98 ",2/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  875,98 ",2/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  790,34 ",2/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  790,34 ",2/9/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",2/27/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  778,65 ",2/21/2025,,,,
TRANSPORTADORA COMBINADA,"  659,23 ",2/19/2025,,,,
TRANSPORTADORA COMBINADA,"  450,43 ",2/19/2025,,,,
TRANSPORTADORA COMBINADA,"  427,75 ",2/27/2025,,,,
TRANSPORTADORA COMBINADA,"  383,88 ",2/14/2025,,,,
TRANSPORTADORA COMBINADA,"  376,43 ",2/9/2025,,,,
TRANSPORTADORA COMBINADA,"  375,34 ",2/16/2025,,,,
TRANSPORTADORA COMBINADA,"  371,32 ",2/26/2025,,,,
TRANSPORTADORA COMBINADA,"  370,44 ",2/26/2025,,,,
TRANSPORTADORA COMBINADA,"  369,48 ",2/16/2025,,,,
TRANSPORTADORA COMBINADA,"  368,96 ",2/15/2025,,,,
TRANSPORTADORA COMBINADA,"  367,28 ",2/26/2025,,,,
TRANSPORTADORA COMBINADA,"  367,06 ",2/26/2025,,,,
TRANSPORTADORA COMBINADA,"  320,33 ",2/9/2025,,,,
TRANSPORTADORA COMBINADA,"  309,63 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  300,77 ",2/6/2025,,,,
TRANSPORTADORA COMBINADA,"  299,81 ",2/8/2025,,,,
TRANSPORTADORA COMBINADA,"  266,16 ",2/27/2025,,,,
TRANSPORTADORA COMBINADA,"  255,71 ",2/8/2025,,,,
TRANSPORTADORA COMBINADA,"  255,54 ",2/1/2025,,,,
TRANSPORTADORA COMBINADA,"  253,90 ",2/19/2025,,,,
TRANSPORTADORA COMBINADA,"  253,84 ",2/14/2025,,,,
TRANSPORTADORA COMBINADA,"  253,69 ",2/15/2025,,,,
TRANSPORTADORA COMBINADA,"  253,24 ",2/19/2025,,,,
TRANSPORTADORA COMBINADA,"  253,20 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  251,22 ",2/27/2025,,,,
TRANSPORTADORA COMBINADA,"  248,32 ",2/5/2025,,,,
TRANSPORTADORA COMBINADA,"  247,14 ",2/19/2025,,,,
TRANSPORTADORA COMBINADA,"  246,21 ",2/1/2025,,,,
TRANSPORTADORA COMBINADA,"  243,08 ",2/6/2025,,,,
TRANSPORTADORA COMBINADA,"  242,35 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  241,68 ",2/23/2025,,,,
TRANSPORTADORA COMBINADA,"  241,38 ",2/23/2025,,,,
TRANSPORTADORA COMBINADA,"  241,27 ",2/16/2025,,,,
TRANSPORTADORA COMBINADA,"  240,73 ",2/2/2025,,,,
TRANSPORTADORA COMBINADA,"  239,69 ",2/20/2025,,,,
TRANSPORTADORA COMBINADA,"  239,63 ",2/20/2025,,,,
