CÓDIGO DA OS,Cód. Material,Texto do item,Qtd.total entrada,Unid.medida lançada, Valor/moeda objeto,Data de lançamento
CORRETIVA-05-25-1002,SPL051257,CHAVE FIM CURSO 802T-CP,11,PC," R$  22.631,62 ",1/3/2025
,SPL54354,CASTING RING LOCKING PIVOT,30,PC," R$  13.025,02 ",1/23/2025
CORRETIVA-01-25-0092,SPL055323,CORREIA PLANA 10725X105X6,2,PC," R$  12.648,53 ",1/12/2025
CORRETIVA-02-25-0123,SPL052803,OLEO QUINTOLUBRIC 888-46,200,L," R$  11.642,58 ",1/8/2025
CORRETIVA-01-25-0092,SPL055322,CORREIA PLANA 5250X120X22,2,PC," R$  11.429,94 ",1/12/2025
,SPL052551,MALHA DE FIBRA DE VIDRO 270,300,M," R$  11.358,23 ",1/25/2025
,SPL055195,Lubricool 22G (205L),1,TB," R$  10.477,55 ",1/29/2025
CORRETIVA-03-25-0954,,BUCHA FIXAÇÃO E FUROS #447 COM TRATAMENT,1,UN," R$  9.879,00 ",1/2/2025
CORRETIVA-03-25-0954,SPL051743,EIXO SECUNDARIO GAIOLA PAR,10,PC," R$  9.710,25 ",1/29/2025
CORRETIVA-03-25-0954,SPL051736,EIXO PAR DA GAIOLA,10,PC," R$  9.710,25 ",1/12/2025
CORRETIVA-01-25-0092,SPL050399,CORREIA PLA 7960X145X20MM #42,1,PC," R$  9.346,13 ",1/12/2025
CORRETIVA-05-25-1002,SPL052352,INVERSOR FREQUENCIA BAICHENG,2,PC," R$  8.878,12 ",1/5/2025
,,Programado LFL 135,1,PC," R$  8.242,50 ",1/17/2025
CORRETIVA-01-25-0985,,Suporte com cj de roletes de 80mm #REIF,1,PC," R$  7.524,00 ",1/25/2025
CORRETIVA-01-25-0926,SPL053053,PRESSOSTATO PARA GAS NATUTAL,5,PC," R$  7.047,03 ",1/12/2025
,SPL051612,CUBO CONTRA-PONTO LADO INFERIO,4,PC," R$  5.685,72 ",1/23/2025
,SPL54134,SISTEMA DE RADIO MOD F24-10D,1,CJ," R$  5.644,18 ",1/12/2025
CORRETIVA-03-25-0954,SPL054233,SUPORTE DA MOLA C12-1/3,30,PC," R$  5.610,57 ",1/23/2025
,SPL053905,VALVULA DE ALIVIO FORNO/FUSÇO,2,PC," R$  5.317,95 ",1/3/2025
,SPL051143,FLANGE CONTRAPONTO #04#05 A3-305-MEC-010,15,PC," R$  4.992,00 ",1/2/2025
CORRETIVA-02-25-0123,,OLEO HIDRAUL.TELLUS-32,10,BAL," R$  4.900,00 ",1/3/2025
,SPL54611,RETENTOR DUPL.VEDAC.70x90x13mm,23,PC," R$  4.007,52 ",1/4/2025
,,Distribuidor de SKIN,1,PC," R$  3.879,60 ",1/29/2025
,SPL053974,VALVULA RET PILOTADA Z2S6-1-6X,2,PC," R$  3.593,70 ",1/3/2025
,SPL053649,SISTEMA DE RADIO MOD.F21-4D,1,PC," R$  3.586,06 ",1/12/2025
CORRETIVA-03-25-0954,SPL054453,MOLA PRATO M72-S,25,PC," R$  3.425,82 ",1/8/2025
,SPL053920,VALVULA DIREC.4WE6G61/EG24N9K4,2,PC," R$  3.357,75 ",1/3/2025
CORRETIVA-05-25-1002,SPL54544,TESOURA P/ CORTE CABOS AL e CU,5,PC," R$  3.351,45 ",1/18/2025
,SPL54272,DISCO DE CORTE 4.1/2 WALTER,200,PC," R$  3.219,51 ",1/10/2025
