DATA DA OCORRÊNCIA,NOME EMPPR,FUNCAO-DENOMINACAO,VALOR
1/2/2025,Operador 1,TECNICO ELETRONICO JR,"1,7"
1/2/2025,Operador 2,MECANICO MANUTENCAO SR,"1,4"
1/2/2025,Operador 4,MECANICO MANUTENCAO SR - CM,2
1/2/2025,Operador 5,MECANICO MANUTENCAO PL,"1,15"
1/2/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,88"
1/2/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"0,88"
1/2/2025,Operador 10,MECANICO DE MANUTENCAO JR,"2,1"
1/2/2025,Operador 11,OP CALD UTI PL,"1,68"
1/2/2025,Operador 12,TECNICO ELETRONICO JR,"0,12"
1/2/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,1
1/2/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,47"
1/2/2025,Operador 16,FERRAMENTEIRO SR,"0,13"
1/2/2025,Operador 18,MECANICO MANUTENCAO PL,"1,85"
1/2/2025,Operador 20,MECANICO MANUTENCAO PL,"1,87"
1/2/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"2,18"
1/2/2025,Operador 28,OP CALD UTI PL,"0,25"
1/2/2025,Operador 31,FERRAMENTEIRO SR,"1,2"
1/2/2025,Operador 33,MECANICO MANUTENCAO SR,"1,15"
1/2/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,42"
1/2/2025,Operador 37,MECANICO MANUTENCAO SR,"0,52"
1/2/2025,Operador 38,FERRAMENTEIRO SR,"0,38"
1/2/2025,Operador 40,MECANICO MANUTENCAO PL,"0,87"
1/3/2025,Operador 1,TECNICO ELETRONICO JR,"0,48"
1/3/2025,Operador 2,MECANICO MANUTENCAO SR,"1,02"
1/3/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,32"
1/3/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,58"
1/3/2025,Operador 5,MECANICO MANUTENCAO PL,"1,15"
1/3/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,98"
1/3/2025,Operador 7,FERRAMENTEIRO,"0,12"
1/3/2025,Operador 10,MECANICO DE MANUTENCAO JR,"2,07"
1/3/2025,Operador 11,OP CALD UTI PL,"1,55"
1/3/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,5"
1/3/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,52"
1/3/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,93"
1/3/2025,Operador 16,FERRAMENTEIRO SR,"0,12"
1/3/2025,Operador 18,MECANICO MANUTENCAO PL,"0,8"
1/3/2025,Operador 20,MECANICO MANUTENCAO PL,"0,72"
1/3/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,12"
1/3/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,22"
1/3/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,47"
1/3/2025,Operador 26,MECANICO MANUTENCAO PL,"0,22"
1/3/2025,Operador 27,OP CALD UTI PL,"0,25"
1/3/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,22"
1/3/2025,Operador 30,TEC ELETRICISTA DE FORCA SR - CM,"16,52"
1/3/2025,Operador 31,FERRAMENTEIRO SR,"1,42"
1/3/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,88"
1/3/2025,Operador 38,FERRAMENTEIRO SR,"0,43"
1/4/2025,Operador 1,TECNICO ELETRONICO JR,"0,25"
1/4/2025,Operador 2,MECANICO MANUTENCAO SR,"0,78"
1/4/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,3"
1/4/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"4,35"
1/4/2025,Operador 5,MECANICO MANUTENCAO PL,"7,18"
1/4/2025,Operador 6,TEC EL ELETRONICO PL - CM,"5,78"
1/4/2025,Operador 18,MECANICO MANUTENCAO PL,"3,17"
1/4/2025,Operador 19,OP UTILIDADES JR,"0,27"
1/4/2025,Operador 20,MECANICO MANUTENCAO PL,"6,68"
1/4/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,32"
1/4/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,27"
1/4/2025,Operador 26,MECANICO MANUTENCAO PL,"0,3"
1/4/2025,Operador 27,OP CALD UTI PL,"0,2"
1/4/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,7"
1/4/2025,Operador 31,FERRAMENTEIRO SR,"9,75"
1/5/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,6"
1/5/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"1,23"
1/5/2025,Operador 19,OP UTILIDADES JR,"0,2"
1/5/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,53"
1/5/2025,Operador 26,MECANICO MANUTENCAO PL,"0,53"
1/5/2025,Operador 27,OP CALD UTI PL,"0,15"
1/5/2025,Operador 28,OP CALD UTI PL,"0,65"
1/5/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,53"
1/5/2025,Operador 33,MECANICO MANUTENCAO SR,"0,23"
1/5/2025,Operador 36,MECANICO MANUTENCAO SR - CM,"1,27"
1/5/2025,Operador 37,MECANICO MANUTENCAO SR,"0,28"
1/6/2025,Operador 1,TECNICO ELETRONICO JR,"1,48"
1/6/2025,Operador 2,MECANICO MANUTENCAO SR,"1,1"
1/6/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,37"
1/6/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,55"
1/6/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,37"
1/6/2025,Operador 10,MECANICO DE MANUTENCAO JR,"2,2"
1/6/2025,Operador 11,OP CALD UTI PL,"0,17"
1/6/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,55"
1/6/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,52"
1/6/2025,Operador 18,MECANICO MANUTENCAO PL,"0,27"
1/6/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,1"
1/6/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,4"
1/6/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"2,13"
1/6/2025,Operador 26,MECANICO MANUTENCAO PL,"0,42"
1/6/2025,Operador 27,OP CALD UTI PL,"0,17"
1/6/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,37"
1/6/2025,Operador 31,FERRAMENTEIRO SR,"1,63"
1/6/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,88"
1/6/2025,Operador 38,FERRAMENTEIRO SR,"2,02"
1/6/2025,Operador 39,MECANICO MANUTENCAO PL,"0,12"
1/7/2025,Operador 1,TECNICO ELETRONICO JR,"1,83"
1/7/2025,Operador 2,MECANICO MANUTENCAO SR,"1,22"
1/7/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,38"
1/7/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,93"
1/7/2025,Operador 5,MECANICO MANUTENCAO PL,"0,62"
1/7/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,43"
1/7/2025,Operador 10,MECANICO DE MANUTENCAO JR,"1,82"
1/7/2025,Operador 11,OP CALD UTI PL,"0,12"
1/7/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,98"
1/7/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,68"
1/7/2025,Operador 18,MECANICO MANUTENCAO PL,"1,77"
1/7/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,12"
1/7/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,13"
1/7/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"2,33"
1/7/2025,Operador 26,MECANICO MANUTENCAO PL,"0,2"
1/7/2025,Operador 27,OP CALD UTI PL,"0,38"
1/7/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,85"
1/7/2025,Operador 31,FERRAMENTEIRO SR,"2,75"
1/7/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,2
1/7/2025,Operador 38,FERRAMENTEIRO SR,"1,47"
1/8/2025,Operador 1,TECNICO ELETRONICO JR,"0,5"
1/8/2025,Operador 2,MECANICO MANUTENCAO SR,"1,08"
1/8/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,38"
1/8/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,82"
1/8/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,63"
1/8/2025,Operador 8,OP CALD UTI JR,"0,5"
1/8/2025,Operador 10,MECANICO DE MANUTENCAO JR,"1,85"
1/8/2025,Operador 11,OP CALD UTI PL,"0,42"
1/8/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,23"
1/8/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,97"
1/8/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,8"
1/8/2025,Operador 18,MECANICO MANUTENCAO PL,"0,95"
1/8/2025,Operador 23,ASSISTENTE DE MANUTENCAO,1
1/8/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,48"
1/8/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,52"
1/8/2025,Operador 26,MECANICO MANUTENCAO PL,"0,43"
1/8/2025,Operador 27,OP CALD UTI PL,"0,15"
1/8/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,3"
1/8/2025,Operador 31,FERRAMENTEIRO SR,"2,63"
1/8/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,45"
1/8/2025,Operador 38,FERRAMENTEIRO SR,"0,68"
1/9/2025,Operador 1,TECNICO ELETRONICO JR,"0,4"
1/9/2025,Operador 2,MECANICO MANUTENCAO SR,"1,65"
1/9/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"2,02"
1/9/2025,Operador 5,MECANICO MANUTENCAO PL,"1,02"
1/9/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"1,78"
1/9/2025,Operador 10,MECANICO DE MANUTENCAO JR,"1,58"
1/9/2025,Operador 11,OP CALD UTI PL,"1,88"
1/9/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,03"
1/9/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,98"
1/9/2025,Operador 15,ASSISTENTE ALMOXARIFADO,"0,32"
1/9/2025,Operador 18,MECANICO MANUTENCAO PL,"1,57"
1/9/2025,Operador 19,OP UTILIDADES JR,1
1/9/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"2,83"
1/9/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,73"
1/9/2025,Operador 28,OP CALD UTI PL,"0,1"
1/9/2025,Operador 31,FERRAMENTEIRO SR,"1,58"
1/9/2025,Operador 32,MECANICO MANUTENCAO SR,"2,17"
1/9/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,15"
1/9/2025,Operador 37,MECANICO MANUTENCAO SR,"1,8"
1/9/2025,Operador 38,FERRAMENTEIRO SR,"0,47"
1/9/2025,Operador 40,MECANICO MANUTENCAO PL,"1,8"
1/10/2025,Operador 1,TECNICO ELETRONICO JR,"0,3"
1/10/2025,Operador 2,MECANICO MANUTENCAO SR,"0,85"
1/10/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,67"
1/10/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"1,55"
1/10/2025,Operador 10,MECANICO DE MANUTENCAO JR,"1,85"
1/10/2025,Operador 11,OP CALD UTI PL,"1,8"
1/10/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,52"
1/10/2025,Operador 14,TEC DESENHO INDUSTRIAL,"0,88"
1/10/2025,Operador 18,MECANICO MANUTENCAO PL,"1,22"
1/10/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,28"
1/10/2025,Operador 28,OP CALD UTI PL,"0,7"
1/10/2025,Operador 31,FERRAMENTEIRO SR,"1,62"
1/10/2025,Operador 32,MECANICO MANUTENCAO SR,"0,25"
1/10/2025,Operador 33,MECANICO MANUTENCAO SR,"1,92"
1/10/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,97"
1/10/2025,Operador 37,MECANICO MANUTENCAO SR,"0,55"
1/10/2025,Operador 38,FERRAMENTEIRO SR,"0,62"
1/10/2025,Operador 40,MECANICO MANUTENCAO PL,"1,92"
1/11/2025,Operador 2,MECANICO MANUTENCAO SR,"1,95"
1/11/2025,Operador 3,TEC ELETRICO MECANICO PL,"1,82"
1/11/2025,Operador 5,MECANICO MANUTENCAO PL,"1,92"
1/11/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,77"
